Intervalo,Estatistica-F,p-value,Periodo_2,Periodo_1,Diferenca (2-1)
1980-1970,604.8981881378822,1.4747804171784847e-133,0.3000693742844145,0.26678586832300794,0.033283505961406556
1991-1980,139.01656447924282,4.374179261879231e-32,0.30431989385367925,0.3000693742844145,0.004250519569264755
2000-1991,131.8452215331433,1.61997880218347e-30,0.3243310566427982,0.30431989385367925,0.020011162789118964
2010-2000,214.84571875709753,1.2084776008733423e-48,0.3508089837771363,0.3243310566427982,0.02647792713433811
